category,diagnosis_code,full_code,partial_description,full_description
A00,0,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae"
A00,1,A001,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor"
A00,9,A009,"Cholera, unspecified","Cholera, unspecified"
A010,0,A0100,"Typhoid fever, unspecified","Typhoid fever, unspecified"
A010,1,A0101,Typhoid meningitis,Typhoid meningitis
A010,2,A0102,Typhoid fever with heart involvement,Typhoid fever with heart involvement
A010,3,A0103,Typhoid pneumonia,Typhoid pneumonia
A010,4,A0104,Typhoid arthritis,Typhoid arthritis
A010,5,A0105,Typhoid osteomyelitis,Typhoid osteomyelitis
A010,9,A0109,Typhoid fever with other complications,Typhoid fever with other complications
A011,,A011,Paratyphoid fever A,Paratyphoid fever A
A012,,A012,Paratyphoid fever B,Paratyphoid fever B
A013,,A013,Paratyphoid fever C,Paratyphoid fever C
A014,,A014,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified"
A02,0,A020,Salmonella enteritis,Salmonella enteritis
A02,1,A021,Salmonella sepsis,Salmonella sepsis
A022,0,A0220,"Localized salmonella infection, unspecified","Localized salmonella infection, unspecified"
A022,1,A0221,Salmonella meningitis,Salmonella meningitis
A022,2,A0222,Salmonella pneumonia,Salmonella pneumonia
A022,3,A0223,Salmonella arthritis,Salmonella arthritis
A022,4,A0224,Salmonella osteomyelitis,Salmonella osteomyelitis
A022,5,A0225,Salmonella pyelonephritis,Salmonella pyelonephritis
A022,9,A0229,Salmonella with other localized infection,Salmonella with other localized infection
A028,,A028,Other specified salmonella infections,Other specified salmonella infections
A029,,A029,"Salmonella infection, unspecified","Salmonella infection, unspecified"
A03,0,A030,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae
A03,1,A031,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri
A03,2,A032,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii
A03,3,A033,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei
A03,8,A038,Other shigellosis,Other shigellosis
A03,9,A039,"Shigellosis, unspecified","Shigellosis, unspecified"
A04,0,A040,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection
A04,1,A041,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection
A04,2,A042,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection
A04,3,A043,Enterohemorrhagic Escherichia coli infection,Enterohemorrhagic Escherichia coli infection
A04,4,A044,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections
A04,5,A045,Campylobacter enteritis,Campylobacter enteritis
A04,6,A046,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica
A047,1,A0471,"Enterocolitis due to Clostridium difficile, recurrent","Enterocolitis due to Clostridium difficile, recurrent"
A047,2,A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur","Enterocolitis due to Clostridium difficile, not specified as recurrent"
A048,,A048,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections
